n,type,x,err
7,uni,-6.220000000000000e-01,6.824186226801782e-02
7,uni,-6.200000000000000e-01,6.897744900162991e-02
7,uni,-6.180000000000000e-01,6.967890264118563e-02
7,uni,-6.160000000000000e-01,7.034617474268191e-02
7,uni,-6.140000000000000e-01,7.097922542246954e-02
7,uni,-6.120000000000000e-01,7.157802329353086e-02
7,uni,-6.100000000000000e-01,7.214254540215236e-02
7,uni,-6.080000000000000e-01,7.267277716499397e-02
7,uni,-6.060000000000000e-01,7.316871230655836e-02
7,uni,-6.040000000000000e-01,7.363035279706173e-02
7,uni,-6.020000000000000e-01,7.405770879070994e-02
7,uni,-6.000000000000000e-01,7.445079856438122e-02
7,uni,-5.980000000000000e-01,7.480964845671938e-02
7,uni,-5.960000000000000e-01,7.513429280763895e-02
7,uni,-5.940000000000000e-01,7.542477389824617e-02
7,uni,-5.920000000000001e-01,7.568114189117742e-02
7,uni,-5.900000000000001e-01,7.590345477135883e-02
7,uni,-5.880000000000001e-01,7.609177828718883e-02
7,uni,-5.860000000000001e-01,7.624618589214772e-02
7,uni,-5.840000000000001e-01,7.636675868683579e-02
7,uni,-5.820000000000001e-01,7.645358536144384e-02
7,uni,-5.800000000000001e-01,7.650676213865847e-02
7,uni,-5.780000000000001e-01,7.652639271700545e-02
7,uni,-5.760000000000001e-01,7.651258821463364e-02
7,uni,-5.740000000000001e-01,7.646546711354295e-02
7,uni,-5.720000000000001e-01,7.638515520425904e-02
7,uni,-5.700000000000001e-01,7.627178553095791e-02
7,uni,-5.680000000000001e-01,7.612549833704330e-02
7,uni,-5.660000000000001e-01,7.594644101118035e-02
7,uni,-5.640000000000001e-01,7.573476803378805e-02
7,uni,-5.620000000000001e-01,7.549064092399414e-02
7,uni,-5.600000000000001e-01,7.521422818705525e-02
7,uni,-5.580000000000001e-01,7.490570526224563e-02
7,uni,-5.560000000000000e-01,7.456525447121762e-02
7,uni,-5.540000000000000e-01,7.419306496683689e-02
7,uni,-5.520000000000000e-01,7.378933268249574e-02
7,uni,-5.500000000000000e-01,7.335426028190778e-02
7,uni,-5.480000000000000e-01,7.288805710938723e-02
7,uni,-5.460000000000000e-01,7.239093914061583e-02
7,uni,-5.440000000000000e-01,7.186312893390051e-02
7,uni,-5.420000000000000e-01,7.130485558192559e-02
7,uni,-5.400000000000000e-01,7.071635466400231e-02
7,uni,-5.380000000000000e-01,7.009786819881872e-02
7,uni,-5.360000000000000e-01,6.944964459769376e-02
7,uni,-5.340000000000000e-01,6.877193861833833e-02
7,uni,-5.320000000000000e-01,6.806501131912621e-02
7,uni,-5.300000000000000e-01,6.732913001387900e-02
7,uni,-5.280000000000000e-01,6.656456822716689e-02
7,uni,-5.260000000000000e-01,6.577160565012981e-02
7,uni,-5.240000000000000e-01,6.495052809682064e-02
7,uni,-5.220000000000000e-01,6.410162746107470e-02
7,uni,-5.200000000000000e-01,6.322520167390769e-02
7,uni,-5.180000000000000e-01,6.232155466144579e-02
7,uni,-5.160000000000000e-01,6.139099630338979e-02
7,uni,-5.140000000000000e-01,6.043384239201738e-02
7,uni,-5.120000000000000e-01,5.945041459172519e-02
7,uni,-5.100000000000000e-01,5.844104039911434e-02
7,uni,-5.080000000000000e-01,5.740605310362112e-02
7,uni,-5.060000000000000e-01,5.634579174869615e-02
7,uni,-5.040000000000000e-01,5.526060109353417e-02
7,uni,-5.020000000000000e-01,5.415083157535662e-02
7,uni,-5.000000000000000e-01,5.301683927224968e-02
7,uni,-4.980000000000000e-01,5.185898586655935e-02
7,uni,-4.960000000000000e-01,5.067763860884622e-02
7,uni,-4.940000000000000e-01,4.947317028240117e-02
7,uni,-4.920000000000000e-01,4.824595916832403e-02
7,uni,-4.900000000000000e-01,4.699638901116646e-02
7,uni,-4.880000000000000e-01,4.572484898514094e-02
7,uni,-4.860000000000000e-01,4.443173366089648e-02
7,uni,-4.840000000000000e-01,4.311744297286209e-02
7,uni,-4.820000000000000e-01,4.178238218715929e-02
7,uni,-4.800000000000000e-01,4.042696187008341e-02
7,uni,-4.780000000000000e-01,3.905159785715455e-02
7,uni,-4.760000000000000e-01,3.765671122273810e-02
7,uni,-4.740000000000000e-01,3.624272825023415e-02
7,uni,-4.720000000000000e-01,3.481008040283598e-02
7,uni,-4.700000000000000e-01,3.335920429485592e-02
7,uni,-4.680000000000000e-01,3.189054166361804e-02
7,uni,-4.660000000000000e-01,3.040453934191573e-02
7,uni,-4.640000000000000e-01,2.890164923103222e-02
7,uni,-4.620000000000000e-01,2.738232827432208e-02
7,uni,-4.600000000000000e-01,2.584703843135044e-02
7,uni,-4.580000000000000e-01,2.429624665258670e-02
7,uni,-4.560000000000000e-01,2.273042485464957e-02
7,uni,-4.540000000000000e-01,2.115004989609859e-02
7,uni,-4.520000000000000e-01,1.955560355376784e-02
7,uni,-4.500000000000000e-01,1.794757249963619e-02
7,uni,-4.480000000000000e-01,1.632644827822818e-02
7,uni,-4.460000000000000e-01,1.469272728453944e-02
7,uni,-4.440000000000000e-01,1.304691074247860e-02
7,uni,-4.419999999999999e-01,1.138950468381877e-02
7,uni,-4.399999999999999e-01,9.721019927648678e-03
7,uni,-4.379999999999999e-01,8.041972060315566e-03
7,uni,-4.360000000000001e-01,6.352881415847639e-03
7,uni,-4.340000000000001e-01,4.654273056846542e-03
7,uni,-4.320000000000001e-01,2.946676755837291e-03
7,uni,-4.300000000000000e-01,1.230626977061972e-03
7,uni,-4.280000000000000e-01,4.933371412964849e-04
7,uni,-4.260000000000000e-01,2.224671804474887e-03
7,uni,-4.240000000000000e-01,3.962828578092631e-03
7,uni,-4.220000000000000e-01,5.707254404732492e-03
7,uni,-4.200000000000000e-01,7.457391620159848e-03
7,uni,-4.180000000000000e-01,9.212677969198779e-03
7,uni,-4.160000000000000e-01,1.097254662128819e-02
7,uni,-4.140000000000000e-01,1.273642618573897e-02
7,uni,-4.120000000000000e-01,1.450374072671864e-02
7,uni,-4.100000000000000e-01,1.627390977798790e-02
7,uni,-4.080000000000000e-01,1.804634835741761e-02
